Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,collection_date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,env_biome,env_feature,env_material,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,host_subject_id,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study
SRR5127403,WGS,196,2837247768,PRJNA319574,SAMN06110346,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",1407508361,BROAD INSTITUTUE,2013/2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ENVO:00009003,ENVO:2100002,ENVO:00002003,SRX2441681,Netherlands,Europe,Netherlands,Homo sapiens,HV282,Illumina HiSeq 2000,Missing,G89088_pe,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2016-12-27T00:00:00Z,G89088,SRP095580
SRR5127404,WGS,197,2227905920,PRJNA319574,SAMN06110218,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",1453677909,BROAD INSTITUTUE,2013/2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ENVO:00009003,ENVO:2100002,ENVO:00002003,SRX2441682,Netherlands,Europe,Netherlands,Homo sapiens,HV490,Illumina HiSeq 2000,Missing,G88948_pe,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2016-12-27T00:00:00Z,G88948,SRP095580
SRR5127405,WGS,198,2923710675,PRJNA319574,SAMN06110266,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",1197213496,BROAD INSTITUTUE,2013/2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ENVO:00009003,ENVO:2100002,ENVO:00002003,SRX2441683,Netherlands,Europe,Netherlands,Homo sapiens,HV369,Illumina HiSeq 2000,Missing,G89001_pe,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2016-12-27T00:00:00Z,G89001,SRP095580
SRR5127406,WGS,199,2959351384,PRJNA319574,SAMN06110233,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",1193731227,BROAD INSTITUTUE,2013/2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ENVO:00009003,ENVO:2100002,ENVO:00002003,SRX2441684,Netherlands,Europe,Netherlands,Homo sapiens,HV421,Illumina HiSeq 2000,Missing,G88965_pe,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2016-12-27T00:00:00Z,G88965,SRP095580
SRR5127407,WGS,197,2907617135,PRJNA319574,SAMN06110353,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",1193366418,BROAD INSTITUTUE,2013/2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ENVO:00009003,ENVO:2100002,ENVO:00002003,SRX2441685,Netherlands,Europe,Netherlands,Homo sapiens,HV302,Illumina HiSeq 2000,Missing,G89096_pe,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2016-12-27T00:00:00Z,G89096,SRP095580
SRR5127408,WGS,197,2235761237,PRJNA319574,SAMN06110381,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",920199497,BROAD INSTITUTUE,2013/2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ENVO:00009003,ENVO:2100002,ENVO:00002003,SRX2441686,Netherlands,Europe,Netherlands,Homo sapiens,HV304,Illumina HiSeq 2000,Missing,G89129_pe,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2016-12-27T00:00:00Z,G89129,SRP095580
SRR5127409,WGS,196,2383535616,PRJNA319574,SAMN06110136,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",1175554935,BROAD INSTITUTUE,2013/2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ENVO:00009003,ENVO:2100002,ENVO:00002003,SRX2441687,Netherlands,Europe,Netherlands,Homo sapiens,HV150,Illumina HiSeq 2000,Missing,G88858_pe,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2016-12-27T00:00:00Z,G88858,SRP095580
SRR5127410,WGS,199,2768787945,PRJNA319574,SAMN06110467,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",1033474087,BROAD INSTITUTUE,2013/2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ENVO:00009003,ENVO:2100002,ENVO:00002003,SRX2441688,Netherlands,Europe,Netherlands,Homo sapiens,HV443,Illumina HiSeq 2000,Missing,G90575_pe,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2016-12-27T00:00:00Z,G90575,SRP095580
SRR5127411,WGS,197,2790061056,PRJNA319574,SAMN06110342,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",1818547746,BROAD INSTITUTUE,2013/2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ENVO:00009003,ENVO:2100002,ENVO:00002003,SRX2441689,Netherlands,Europe,Netherlands,Homo sapiens,HV423,Illumina HiSeq 2000,Missing,G89083_pe,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2016-12-27T00:00:00Z,G89083,SRP095580
SRR5127412,WGS,199,3154981468,PRJNA319574,SAMN06110131,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",1658067703,BROAD INSTITUTUE,2013/2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ENVO:00009003,ENVO:2100002,ENVO:00002003,SRX2441690,Netherlands,Europe,Netherlands,Homo sapiens,HV154,Illumina HiSeq 2000,Missing,G88853_pe,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2016-12-27T00:00:00Z,G88853,SRP095580
SRR5127413,WGS,199,2735448020,PRJNA319574,SAMN06110435,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",1113325313,BROAD INSTITUTUE,2013/2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ENVO:00009003,ENVO:2100002,ENVO:00002003,SRX2441691,Netherlands,Europe,Netherlands,Homo sapiens,HV096,Illumina HiSeq 2000,Missing,G89190_pe,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2016-12-27T00:00:00Z,G89190,SRP095580
SRR5127414,WGS,199,3429229669,PRJNA319574,SAMN06110411,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",1799814822,BROAD INSTITUTUE,2013/2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ENVO:00009003,ENVO:2100002,ENVO:00002003,SRX2441692,Netherlands,Europe,Netherlands,Homo sapiens,HV166,Illumina HiSeq 2000,Missing,G89162_pe,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2016-12-28T00:00:00Z,G89162,SRP095580
SRR5127415,WGS,198,2870109703,PRJNA319574,SAMN06110301,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",1193066824,BROAD INSTITUTUE,2013/2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ENVO:00009003,ENVO:2100002,ENVO:00002003,SRX2441693,Netherlands,Europe,Netherlands,Homo sapiens,HV366,Illumina HiSeq 2000,Missing,G89039_pe,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2016-12-28T00:00:00Z,G89039,SRP095580
SRR5127416,WGS,197,2444679837,PRJNA319574,SAMN06110012,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",1592025564,BROAD INSTITUTUE,2013/2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ENVO:00009003,ENVO:2100002,ENVO:00002003,SRX2441694,Netherlands,Europe,Netherlands,Homo sapiens,HV057,Illumina HiSeq 2000,Missing,G88711_pe,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2016-12-27T00:00:00Z,G88711,SRP095580
SRR5127417,WGS,198,3283027836,PRJNA319574,SAMN06110307,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",2389069094,BROAD INSTITUTUE,2013/2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ENVO:00009003,ENVO:2100002,ENVO:00002003,SRX2441695,Netherlands,Europe,Netherlands,Homo sapiens,HV215,Illumina HiSeq 2000,Missing,G89046_pe,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2016-12-27T00:00:00Z,G89046,SRP095580
SRR5127418,WGS,199,3050034321,PRJNA319574,SAMN06110401,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",1245382930,BROAD INSTITUTUE,2013/2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ENVO:00009003,ENVO:2100002,ENVO:00002003,SRX2441696,Netherlands,Europe,Netherlands,Homo sapiens,HV157,Illumina HiSeq 2000,Missing,G89151_pe,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2016-12-27T00:00:00Z,G89151,SRP095580
SRR5127419,WGS,196,3047257854,PRJNA319574,SAMN06110178,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",1258272497,BROAD INSTITUTUE,2013/2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ENVO:00009003,ENVO:2100002,ENVO:00002003,SRX2441697,Netherlands,Europe,Netherlands,Homo sapiens,HV430,Illumina HiSeq 2000,Missing,G88904_pe,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2016-12-28T00:00:00Z,G88904,SRP095580
SRR5127420,WGS,198,3879913897,PRJNA319574,SAMN06110150,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",2522114617,BROAD INSTITUTUE,2013/2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ENVO:00009003,ENVO:2100002,ENVO:00002003,SRX2441698,Netherlands,Europe,Netherlands,Homo sapiens,HV237,Illumina HiSeq 2000,Missing,G88875_pe,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2016-12-28T00:00:00Z,G88875,SRP095580
SRR5127421,WGS,199,2729581853,PRJNA319574,SAMN06110252,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",1110725474,BROAD INSTITUTUE,2013/2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ENVO:00009003,ENVO:2100002,ENVO:00002003,SRX2441699,Netherlands,Europe,Netherlands,Homo sapiens,HV521,Illumina HiSeq 2000,Missing,G88985_pe,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2016-12-27T00:00:00Z,G88985,SRP095580
SRR5127422,WGS,198,5960423317,PRJNA319574,SAMN06110367,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",4299355114,BROAD INSTITUTUE,2013/2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ENVO:00009003,ENVO:2100002,ENVO:00002003,SRX2441700,Netherlands,Europe,Netherlands,Homo sapiens,HV243,Illumina HiSeq 2000,Missing,G89114_pe,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2016-12-28T00:00:00Z,G89114,SRP095580
SRR5127423,WGS,198,2735887921,PRJNA319574,SAMN06110317,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",1760569735,BROAD INSTITUTUE,2013/2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ENVO:00009003,ENVO:2100002,ENVO:00002003,SRX2441701,Netherlands,Europe,Netherlands,Homo sapiens,HV364,Illumina HiSeq 2000,Missing,G89056_pe,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2016-12-27T00:00:00Z,G89056,SRP095580
SRR5127424,WGS,198,2822186349,PRJNA319574,SAMN06110273,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",1524180923,BROAD INSTITUTUE,2013/2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ENVO:00009003,ENVO:2100002,ENVO:00002003,SRX2441702,Netherlands,Europe,Netherlands,Homo sapiens,HV378,Illumina HiSeq 2000,Missing,G89009_pe,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2016-12-27T00:00:00Z,G89009,SRP095580
SRR5127425,WGS,196,2300431453,PRJNA319574,SAMN06110227,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",1158841501,BROAD INSTITUTUE,2013/2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ENVO:00009003,ENVO:2100002,ENVO:00002003,SRX2441703,Netherlands,Europe,Netherlands,Homo sapiens,HV508,Illumina HiSeq 2000,Missing,G88959_pe,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2016-12-27T00:00:00Z,G88959,SRP095580
SRR5127426,WGS,198,2677979274,PRJNA319574,SAMN06110104,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",1730216467,BROAD INSTITUTUE,2013/2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ENVO:00009003,ENVO:2100002,ENVO:00002003,SRX2441704,Netherlands,Europe,Netherlands,Homo sapiens,HV195,Illumina HiSeq 2000,Missing,G88823_pe,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2016-12-28T00:00:00Z,G88823,SRP095580
SRR5127427,WGS,198,2464448334,PRJNA319574,SAMN06110219,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",1010446591,BROAD INSTITUTUE,2013/2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ENVO:00009003,ENVO:2100002,ENVO:00002003,SRX2441705,Netherlands,Europe,Netherlands,Homo sapiens,HV492,Illumina HiSeq 2000,Missing,G88949_pe,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2016-12-27T00:00:00Z,G88949,SRP095580
SRR5127428,WGS,198,3126422163,PRJNA319574,SAMN06110449,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",2278675513,BROAD INSTITUTUE,2013/2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ENVO:00009003,ENVO:2100002,ENVO:00002003,SRX2441706,Netherlands,Europe,Netherlands,Homo sapiens,HV241,Illumina HiSeq 2000,Missing,G89258_pe,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2016-12-27T00:00:00Z,G89258,SRP095580
SRR5127429,WGS,199,3134431966,PRJNA319574,SAMN06110109,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",1278195955,BROAD INSTITUTUE,2013/2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ENVO:00009003,ENVO:2100002,ENVO:00002003,SRX2441707,Netherlands,Europe,Netherlands,Homo sapiens,HV197,Illumina HiSeq 2000,Missing,G88829_pe,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2016-12-27T00:00:00Z,G88829,SRP095580
SRR5127430,WGS,197,2148423754,PRJNA319574,SAMN06110091,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",891236868,BROAD INSTITUTUE,2013/2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ENVO:00009003,ENVO:2100002,ENVO:00002003,SRX2441708,Netherlands,Europe,Netherlands,Homo sapiens,HV183,Illumina HiSeq 2000,Missing,G88809_pe,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2016-12-27T00:00:00Z,G88809,SRP095580
SRR5127431,WGS,198,2425035497,PRJNA319574,SAMN06110020,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",998845696,BROAD INSTITUTUE,2013/2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ENVO:00009003,ENVO:2100002,ENVO:00002003,SRX2441709,Netherlands,Europe,Netherlands,Homo sapiens,HV126,Illumina HiSeq 2000,Missing,G88723_pe,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2016-12-27T00:00:00Z,G88723,SRP095580
SRR5127432,WGS,197,2701235665,PRJNA319574,SAMN06110297,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",1745393001,BROAD INSTITUTUE,2013/2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ENVO:00009003,ENVO:2100002,ENVO:00002003,SRX2441710,Netherlands,Europe,Netherlands,Homo sapiens,HV384,Illumina HiSeq 2000,Missing,G89035_pe,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2016-12-28T00:00:00Z,G89035,SRP095580
SRR5127433,WGS,199,2524496218,PRJNA319574,SAMN06110351,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",1033886308,BROAD INSTITUTUE,2013/2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ENVO:00009003,ENVO:2100002,ENVO:00002003,SRX2441711,Netherlands,Europe,Netherlands,Homo sapiens,HV242,Illumina HiSeq 2000,Missing,G89094_pe,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2016-12-27T00:00:00Z,G89094,SRP095580
SRR5127434,WGS,198,2091704188,PRJNA319574,SAMN06110303,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",1111276427,BROAD INSTITUTUE,2013/2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ENVO:00009003,ENVO:2100002,ENVO:00002003,SRX2441712,Netherlands,Europe,Netherlands,Homo sapiens,HV459,Illumina HiSeq 2000,Missing,G89042_pe,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2016-12-27T00:00:00Z,G89042,SRP095580
SRR5127435,WGS,196,4627794428,PRJNA319574,SAMN06110261,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",2264235115,BROAD INSTITUTUE,2013/2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ENVO:00009003,ENVO:2100002,ENVO:00002003,SRX2441713,Netherlands,Europe,Netherlands,Homo sapiens,HV344,Illumina HiSeq 2000,Missing,G88995_pe,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2016-12-28T00:00:00Z,G88995,SRP095580
SRR5127436,WGS,198,2244829162,PRJNA319574,SAMN06110225,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",917745060,BROAD INSTITUTUE,2013/2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ENVO:00009003,ENVO:2100002,ENVO:00002003,SRX2441714,Netherlands,Europe,Netherlands,Homo sapiens,HV501,Illumina HiSeq 2000,Missing,G88955_pe,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2016-12-27T00:00:00Z,G88955,SRP095580
SRR5127437,WGS,196,4510640421,PRJNA319574,SAMN06110076,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",2212152508,BROAD INSTITUTUE,2013/2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ENVO:00009003,ENVO:2100002,ENVO:00002003,SRX2441715,Netherlands,Europe,Netherlands,Homo sapiens,HV019,Illumina HiSeq 2000,Missing,G88790_pe,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2016-12-27T00:00:00Z,G88790,SRP095580
SRR5127438,WGS,198,2529954373,PRJNA319574,SAMN06110236,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",1032195766,BROAD INSTITUTUE,2013/2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ENVO:00009003,ENVO:2100002,ENVO:00002003,SRX2441716,Netherlands,Europe,Netherlands,Homo sapiens,HV491,Illumina HiSeq 2000,Missing,G88968_pe,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2016-12-27T00:00:00Z,G88968,SRP095580
SRR5127439,WGS,198,3518327690,PRJNA319574,SAMN06110321,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",2551776260,BROAD INSTITUTUE,2013/2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ENVO:00009003,ENVO:2100002,ENVO:00002003,SRX2441717,Netherlands,Europe,Netherlands,Homo sapiens,HV402,Illumina HiSeq 2000,Missing,G89060_pe,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2016-12-28T00:00:00Z,G89060,SRP095580
